
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000000000000000, L(p,q) = 0.8000000000000000
t = 27.6000, H(p,q)-H0 = 0.0000000021903857, L(p,q)-L0 = 0.0000000000000028
t = 27.7000, H(p,q)-H0 = 0.0000000021904235, L(p,q)-L0 = 0.0000000000000031
t = 27.8000, H(p,q)-H0 = 0.0000000021904527, L(p,q)-L0 = 0.0000000000000032
t = 27.9000, H(p,q)-H0 = 0.0000000021904745, L(p,q)-L0 = 0.0000000000000033
t = 28.0000, H(p,q)-H0 = 0.0000000021904908, L(p,q)-L0 = 0.0000000000000036
t = 28.1000, H(p,q)-H0 = 0.0000000021905013, L(p,q)-L0 = 0.0000000000000034
t = 28.2000, H(p,q)-H0 = 0.0000000021905070, L(p,q)-L0 = 0.0000000000000036
t = 28.3000, H(p,q)-H0 = 0.0000000021905081, L(p,q)-L0 = 0.0000000000000036
t = 28.4000, H(p,q)-H0 = 0.0000000021905043, L(p,q)-L0 = 0.0000000000000031
t = 28.5000, H(p,q)-H0 = 0.0000000021904960, L(p,q)-L0 = 0.0000000000000031
t = 28.6000, H(p,q)-H0 = 0.0000000021904830, L(p,q)-L0 = 0.0000000000000033
t = 28.7000, H(p,q)-H0 = 0.0000000021904643, L(p,q)-L0 = 0.0000000000000039
t = 28.8000, H(p,q)-H0 = 0.0000000021904385, L(p,q)-L0 = 0.0000000000000037
t = 28.9000, H(p,q)-H0 = 0.0000000021904052, L(p,q)-L0 = 0.0000000000000039
t = 29.0000, H(p,q)-H0 = 0.0000000021903620, L(p,q)-L0 = 0.0000000000000037
t = 29.1000, H(p,q)-H0 = 0.0000000021903072, L(p,q)-L0 = 0.0000000000000037
t = 29.2000, H(p,q)-H0 = 0.0000000021902369, L(p,q)-L0 = 0.0000000000000038
t = 29.3000, H(p,q)-H0 = 0.0000000021901463, L(p,q)-L0 = 0.0000000000000036
t = 29.4000, H(p,q)-H0 = 0.0000000021900293, L(p,q)-L0 = 0.0000000000000042
t = 29.5000, H(p,q)-H0 = 0.0000000021898753, L(p,q)-L0 = 0.0000000000000041
t = 29.6000, H(p,q)-H0 = 0.0000000021896700, L(p,q)-L0 = 0.0000000000000042
t = 29.7000, H(p,q)-H0 = 0.0000000021893919, L(p,q)-L0 = 0.0000000000000040
t = 29.8000, H(p,q)-H0 = 0.0000000021890065, L(p,q)-L0 = 0.0000000000000040
t = 29.9000, H(p,q)-H0 = 0.0000000021884604, L(p,q)-L0 = 0.0000000000000038
t = 30.0000, H(p,q)-H0 = 0.0000000021876657, L(p,q)-L0 = 0.0000000000000044
t = 30.1000, H(p,q)-H0 = 0.0000000021864693, L(p,q)-L0 = 0.0000000000000042
t = 30.2000, H(p,q)-H0 = 0.0000000021846054, L(p,q)-L0 = 0.0000000000000042
t = 30.3000, H(p,q)-H0 = 0.0000000021815807, L(p,q)-L0 = 0.0000000000000040
t = 30.4000, H(p,q)-H0 = 0.0000000021764376, L(p,q)-L0 = 0.0000000000000038
t = 30.5000, H(p,q)-H0 = 0.0000000021672218, L(p,q)-L0 = 0.0000000000000038
t = 30.6000, H(p,q)-H0 = 0.0000000021497005, L(p,q)-L0 = 0.0000000000000039
t = 30.7000, H(p,q)-H0 = 0.0000000021141389, L(p,q)-L0 = 0.0000000000000040
t = 30.8000, H(p,q)-H0 = 0.0000000020367849, L(p,q)-L0 = 0.0000000000000039
t = 30.9000, H(p,q)-H0 = 0.0000000018570208, L(p,q)-L0 = 0.0000000000000031
t = 31.0000, H(p,q)-H0 = 0.0000000014208090, L(p,q)-L0 = 0.0000000000000032
t = 31.1000, H(p,q)-H0 = 0.0000000003977567, L(p,q)-L0 = 0.0000000000000036
t = 31.2000, H(p,q)-H0 = -0.0000000014232162, L(p,q)-L0 = 0.0000000000000033
t = 31.3000, H(p,q)-H0 = -0.0000000021604556, L(p,q)-L0 = 0.0000000000000033
t = 31.4000, H(p,q)-H0 = -0.0000000000914391, L(p,q)-L0 = 0.0000000000000037
t = 31.5000, H(p,q)-H0 = -0.0000000015394426, L(p,q)-L0 = 0.0000000000000033
t = 31.6000, H(p,q)-H0 = -0.0000000019942215, L(p,q)-L0 = 0.0000000000000033
t = 31.7000, H(p,q)-H0 = -0.0000000001403380, L(p,q)-L0 = 0.0000000000000033
t = 31.8000, H(p,q)-H0 = 0.0000000011688988, L(p,q)-L0 = 0.0000000000000033
t = 31.9000, H(p,q)-H0 = 0.0000000017544384, L(p,q)-L0 = 0.0000000000000033
t = 32.0000, H(p,q)-H0 = 0.0000000019945824, L(p,q)-L0 = 0.0000000000000034
t = 32.1000, H(p,q)-H0 = 0.0000000020957509, L(p,q)-L0 = 0.0000000000000039
t = 32.2000, H(p,q)-H0 = 0.0000000021411103, L(p,q)-L0 = 0.0000000000000037
t = 32.3000, H(p,q)-H0 = 0.0000000021629221, L(p,q)-L0 = 0.0000000000000041
t = 32.4000, H(p,q)-H0 = 0.0000000021741428, L(p,q)-L0 = 0.0000000000000041
t = 32.5000, H(p,q)-H0 = 0.0000000021802830, L(p,q)-L0 = 0.0000000000000041
t = 32.6000, H(p,q)-H0 = 0.0000000021838333, L(p,q)-L0 = 0.0000000000000044
t = 32.7000, H(p,q)-H0 = 0.0000000021859882, L(p,q)-L0 = 0.0000000000000042
t = 32.8000, H(p,q)-H0 = 0.0000000021873530, L(p,q)-L0 = 0.0000000000000039
t = 32.9000, H(p,q)-H0 = 0.0000000021882515, L(p,q)-L0 = 0.0000000000000041
t = 33.0000, H(p,q)-H0 = 0.0000000021888621, L(p,q)-L0 = 0.0000000000000042
t = 33.1000, H(p,q)-H0 = 0.0000000021892892, L(p,q)-L0 = 0.0000000000000043
t = 33.2000, H(p,q)-H0 = 0.0000000021895956, L(p,q)-L0 = 0.0000000000000044
t = 33.3000, H(p,q)-H0 = 0.0000000021898200, L(p,q)-L0 = 0.0000000000000042
t = 33.4000, H(p,q)-H0 = 0.0000000021899879, L(p,q)-L0 = 0.0000000000000044
t = 33.5000, H(p,q)-H0 = 0.0000000021901150, L(p,q)-L0 = 0.0000000000000044
t = 33.6000, H(p,q)-H0 = 0.0000000021902128, L(p,q)-L0 = 0.0000000000000046
t = 33.7000, H(p,q)-H0 = 0.0000000021902886, L(p,q)-L0 = 0.0000000000000044
t = 33.8000, H(p,q)-H0 = 0.0000000021903477, L(p,q)-L0 = 0.0000000000000044
t = 33.9000, H(p,q)-H0 = 0.0000000021903943, L(p,q)-L0 = 0.0000000000000048
t = 34.0000, H(p,q)-H0 = 0.0000000021904303, L(p,q)-L0 = 0.0000000000000047
t = 34.1000, H(p,q)-H0 = 0.0000000021904579, L(p,q)-L0 = 0.0000000000000044
t = 34.2000, H(p,q)-H0 = 0.0000000021904785, L(p,q)-L0 = 0.0000000000000042
t = 34.3000, H(p,q)-H0 = 0.0000000021904935, L(p,q)-L0 = 0.0000000000000042
t = 34.4000, H(p,q)-H0 = 0.0000000021905031, L(p,q)-L0 = 0.0000000000000040
t = 34.5000, H(p,q)-H0 = 0.0000000021905079, L(p,q)-L0 = 0.0000000000000039
t = 34.6000, H(p,q)-H0 = 0.0000000021905082, L(p,q)-L0 = 0.0000000000000038
t = 34.7000, H(p,q)-H0 = 0.0000000021905042, L(p,q)-L0 = 0.0000000000000042
t = 34.8000, H(p,q)-H0 = 0.0000000021904950, L(p,q)-L0 = 0.0000000000000039
t = 34.9000, H(p,q)-H0 = 0.0000000021904808, L(p,q)-L0 = 0.0000000000000038
t = 35.0000, H(p,q)-H0 = 0.0000000021904607, L(p,q)-L0 = 0.0000000000000037
t = 35.1000, H(p,q)-H0 = 0.0000000021904338, L(p,q)-L0 = 0.0000000000000036
t = 35.2000, H(p,q)-H0 = 0.0000000021903993, L(p,q)-L0 = 0.0000000000000039
t = 35.3000, H(p,q)-H0 = 0.0000000021903542, L(p,q)-L0 = 0.0000000000000037
t = 35.4000, H(p,q)-H0 = 0.0000000021902972, L(p,q)-L0 = 0.0000000000000039
t = 35.5000, H(p,q)-H0 = 0.0000000021902238, L(p,q)-L0 = 0.0000000000000037
t = 35.6000, H(p,q)-H0 = 0.0000000021901293, L(p,q)-L0 = 0.0000000000000039
t = 35.7000, H(p,q)-H0 = 0.0000000021900066, L(p,q)-L0 = 0.0000000000000038
t = 35.8000, H(p,q)-H0 = 0.0000000021898452, L(p,q)-L0 = 0.0000000000000040
t = 35.9000, H(p,q)-H0 = 0.0000000021896294, L(p,q)-L0 = 0.0000000000000038
t = 36.0000, H(p,q)-H0 = 0.0000000021893357, L(p,q)-L0 = 0.0000000000000038
t = 36.1000, H(p,q)-H0 = 0.0000000021889278, L(p,q)-L0 = 0.0000000000000033
t = 36.2000, H(p,q)-H0 = 0.0000000021883469, L(p,q)-L0 = 0.0000000000000029
t = 36.3000, H(p,q)-H0 = 0.0000000021874968, L(p,q)-L0 = 0.0000000000000028
t = 36.4000, H(p,q)-H0 = 0.0000000021862115, L(p,q)-L0 = 0.0000000000000028
t = 36.5000, H(p,q)-H0 = 0.0000000021841960, L(p,q)-L0 = 0.0000000000000032
t = 36.6000, H(p,q)-H0 = 0.0000000021809006, L(p,q)-L0 = 0.0000000000000037
t = 36.7000, H(p,q)-H0 = 0.0000000021752493, L(p,q)-L0 = 0.0000000000000031
t = 36.8000, H(p,q)-H0 = 0.0000000021650266, L(p,q)-L0 = 0.0000000000000031
t = 36.9000, H(p,q)-H0 = 0.0000000021453834, L(p,q)-L0 = 0.0000000000000032
t = 37.0000, H(p,q)-H0 = 0.0000000021050556, L(p,q)-L0 = 0.0000000000000036
t = 37.1000, H(p,q)-H0 = 0.0000000020163053, L(p,q)-L0 = 0.0000000000000038
t = 37.2000, H(p,q)-H0 = 0.0000000018080409, L(p,q)-L0 = 0.0000000000000031
t = 37.3000, H(p,q)-H0 = 0.0000000013016177, L(p,q)-L0 = 0.0000000000000036
t = 37.4000, H(p,q)-H0 = 0.0000000001394596, L(p,q)-L0 = 0.0000000000000036
t = 37.5000, H(p,q)-H0 = -0.0000000017311259, L(p,q)-L0 = 0.0000000000000036
t = 37.6000, H(p,q)-H0 = -0.0000000019064714, L(p,q)-L0 = 0.0000000000000037
t = 37.7000, H(p,q)-H0 = 0.0000000000003630, L(p,q)-L0 = 0.0000000000000033
t = 37.8000, H(p,q)-H0 = -0.0000000018991426, L(p,q)-L0 = 0.0000000000000031
t = 37.9000, H(p,q)-H0 = -0.0000000017294051, L(p,q)-L0 = 0.0000000000000031
t = 38.0000, H(p,q)-H0 = 0.0000000001444111, L(p,q)-L0 = 0.0000000000000033
t = 38.1000, H(p,q)-H0 = 0.0000000013063575, L(p,q)-L0 = 0.0000000000000033
t = 38.2000, H(p,q)-H0 = 0.0000000018110842, L(p,q)-L0 = 0.0000000000000036
t = 38.3000, H(p,q)-H0 = 0.0000000020180342, L(p,q)-L0 = 0.0000000000000036
t = 38.4000, H(p,q)-H0 = 0.0000000021060161, L(p,q)-L0 = 0.0000000000000037
t = 38.5000, H(p,q)-H0 = 0.0000000021459255, L(p,q)-L0 = 0.0000000000000038
t = 38.6000, H(p,q)-H0 = 0.0000000021653410, L(p,q)-L0 = 0.0000000000000034
t = 38.7000, H(p,q)-H0 = 0.0000000021754381, L(p,q)-L0 = 0.0000000000000033
t = 38.8000, H(p,q)-H0 = 0.0000000021810172, L(p,q)-L0 = 0.0000000000000033
t = 38.9000, H(p,q)-H0 = 0.0000000021842712, L(p,q)-L0 = 0.0000000000000034
t = 39.0000, H(p,q)-H0 = 0.0000000021862612, L(p,q)-L0 = 0.0000000000000033
t = 39.1000, H(p,q)-H0 = 0.0000000021875308, L(p,q)-L0 = 0.0000000000000037
t = 39.2000, H(p,q)-H0 = 0.0000000021883703, L(p,q)-L0 = 0.0000000000000033
t = 39.3000, H(p,q)-H0 = 0.0000000021889444, L(p,q)-L0 = 0.0000000000000037
t = 39.4000, H(p,q)-H0 = 0.0000000021893477, L(p,q)-L0 = 0.0000000000000038
t = 39.5000, H(p,q)-H0 = 0.0000000021896380, L(p,q)-L0 = 0.0000000000000036
t = 39.6000, H(p,q)-H0 = 0.0000000021898516, L(p,q)-L0 = 0.0000000000000037
t = 39.7000, H(p,q)-H0 = 0.0000000021900115, L(p,q)-L0 = 0.0000000000000036
t = 39.8000, H(p,q)-H0 = 0.0000000021901330, L(p,q)-L0 = 0.0000000000000031
t = 39.9000, H(p,q)-H0 = 0.0000000021902264, L(p,q)-L0 = 0.0000000000000032
t = 40.0000, H(p,q)-H0 = 0.0000000021902989, L(p,q)-L0 = 0.0000000000000028
t = 40.1000, H(p,q)-H0 = 0.0000000021903558, L(p,q)-L0 = 0.0000000000000029
t = 40.2000, H(p,q)-H0 = 0.0000000021904003, L(p,q)-L0 = 0.0000000000000028
t = 40.3000, H(p,q)-H0 = 0.0000000021904346, L(p,q)-L0 = 0.0000000000000026
t = 40.4000, H(p,q)-H0 = 0.0000000021904611, L(p,q)-L0 = 0.0000000000000024
t = 40.5000, H(p,q)-H0 = 0.0000000021904809, L(p,q)-L0 = 0.0000000000000022
t = 40.6000, H(p,q)-H0 = 0.0000000021904947, L(p,q)-L0 = 0.0000000000000022
t = 40.7000, H(p,q)-H0 = 0.0000000021905039, L(p,q)-L0 = 0.0000000000000026
t = 40.8000, H(p,q)-H0 = 0.0000000021905078, L(p,q)-L0 = 0.0000000000000022
t = 40.9000, H(p,q)-H0 = 0.0000000021905074, L(p,q)-L0 = 0.0000000000000022
t = 41.0000, H(p,q)-H0 = 0.0000000021905026, L(p,q)-L0 = 0.0000000000000026
t = 41.1000, H(p,q)-H0 = 0.0000000021904927, L(p,q)-L0 = 0.0000000000000026
t = 41.2000, H(p,q)-H0 = 0.0000000021904775, L(p,q)-L0 = 0.0000000000000026
t = 41.3000, H(p,q)-H0 = 0.0000000021904565, L(p,q)-L0 = 0.0000000000000027
t = 41.4000, H(p,q)-H0 = 0.0000000021904285, L(p,q)-L0 = 0.0000000000000027
t = 41.5000, H(p,q)-H0 = 0.0000000021903920, L(p,q)-L0 = 0.0000000000000024
t = 41.6000, H(p,q)-H0 = 0.0000000021903456, L(p,q)-L0 = 0.0000000000000028
t = 41.7000, H(p,q)-H0 = 0.0000000021902861, L(p,q)-L0 = 0.0000000000000029
t = 41.8000, H(p,q)-H0 = 0.0000000021902095, L(p,q)-L0 = 0.0000000000000027
t = 41.9000, H(p,q)-H0 = 0.0000000021901106, L(p,q)-L0 = 0.0000000000000024
t = 42.0000, H(p,q)-H0 = 0.0000000021899824, L(p,q)-L0 = 0.0000000000000026
t = 42.1000, H(p,q)-H0 = 0.0000000021898132, L(p,q)-L0 = 0.0000000000000024
t = 42.2000, H(p,q)-H0 = 0.0000000021895867, L(p,q)-L0 = 0.0000000000000029
t = 42.3000, H(p,q)-H0 = 0.0000000021892768, L(p,q)-L0 = 0.0000000000000029
t = 42.4000, H(p,q)-H0 = 0.0000000021888449, L(p,q)-L0 = 0.0000000000000028
t = 42.5000, H(p,q)-H0 = 0.0000000021882276, L(p,q)-L0 = 0.0000000000000031
t = 42.6000, H(p,q)-H0 = 0.0000000021873187, L(p,q)-L0 = 0.0000000000000031
t = 42.7000, H(p,q)-H0 = 0.0000000021859365, L(p,q)-L0 = 0.0000000000000034
t = 42.8000, H(p,q)-H0 = 0.0000000021837536, L(p,q)-L0 = 0.0000000000000033
t = 42.9000, H(p,q)-H0 = 0.0000000021801575, L(p,q)-L0 = 0.0000000000000032
t = 43.0000, H(p,q)-H0 = 0.0000000021739391, L(p,q)-L0 = 0.0000000000000036
t = 43.1000, H(p,q)-H0 = 0.0000000021625797, L(p,q)-L0 = 0.0000000000000039
t = 43.2000, H(p,q)-H0 = 0.0000000021405177, L(p,q)-L0 = 0.0000000000000047
t = 43.3000, H(p,q)-H0 = 0.0000000020946935, L(p,q)-L0 = 0.0000000000000051
t = 43.4000, H(p,q)-H0 = 0.0000000019926774, L(p,q)-L0 = 0.0000000000000047
t = 43.5000, H(p,q)-H0 = 0.0000000017511204, L(p,q)-L0 = 0.0000000000000046
t = 43.6000, H(p,q)-H0 = 0.0000000011639263, L(p,q)-L0 = 0.0000000000000042
t = 43.7000, H(p,q)-H0 = -0.0000000001449194, L(p,q)-L0 = 0.0000000000000040
t = 43.8000, H(p,q)-H0 = -0.0000000019957591, L(p,q)-L0 = 0.0000000000000036
t = 43.9000, H(p,q)-H0 = -0.0000000015482549, L(p,q)-L0 = 0.0000000000000032
t = 44.0000, H(p,q)-H0 = -0.0000000000875615, L(p,q)-L0 = 0.0000000000000033
t = 44.1000, H(p,q)-H0 = -0.0000000021549367, L(p,q)-L0 = 0.0000000000000031
t = 44.2000, H(p,q)-H0 = -0.0000000014210157, L(p,q)-L0 = 0.0000000000000030
t = 44.3000, H(p,q)-H0 = 0.0000000004029348, L(p,q)-L0 = 0.0000000000000028
t = 44.4000, H(p,q)-H0 = 0.0000000014252810, L(p,q)-L0 = 0.0000000000000027
t = 44.5000, H(p,q)-H0 = 0.0000000018598003, L(p,q)-L0 = 0.0000000000000029
t = 44.6000, H(p,q)-H0 = 0.0000000020383498, L(p,q)-L0 = 0.0000000000000032
t = 44.7000, H(p,q)-H0 = 0.0000000021150072, L(p,q)-L0 = 0.0000000000000028
t = 44.8000, H(p,q)-H0 = 0.0000000021501914, L(p,q)-L0 = 0.0000000000000031
t = 44.9000, H(p,q)-H0 = 0.0000000021675071, L(p,q)-L0 = 0.0000000000000029
t = 45.0000, H(p,q)-H0 = 0.0000000021766086, L(p,q)-L0 = 0.0000000000000028
t = 45.1000, H(p,q)-H0 = 0.0000000021816857, L(p,q)-L0 = 0.0000000000000024
t = 45.2000, H(p,q)-H0 = 0.0000000021846717, L(p,q)-L0 = 0.0000000000000023
t = 45.3000, H(p,q)-H0 = 0.0000000021865116, L(p,q)-L0 = 0.0000000000000022
t = 45.4000, H(p,q)-H0 = 0.0000000021876930, L(p,q)-L0 = 0.0000000000000022
t = 45.5000, H(p,q)-H0 = 0.0000000021884791, L(p,q)-L0 = 0.0000000000000020
t = 45.6000, H(p,q)-H0 = 0.0000000021890187, L(p,q)-L0 = 0.0000000000000020
t = 45.7000, H(p,q)-H0 = 0.0000000021893996, L(p,q)-L0 = 0.0000000000000019
t = 45.8000, H(p,q)-H0 = 0.0000000021896744, L(p,q)-L0 = 0.0000000000000016
t = 45.9000, H(p,q)-H0 = 0.0000000021898774, L(p,q)-L0 = 0.0000000000000016
t = 46.0000, H(p,q)-H0 = 0.0000000021900302, L(p,q)-L0 = 0.0000000000000017
t = 46.1000, H(p,q)-H0 = 0.0000000021901467, L(p,q)-L0 = 0.0000000000000020
t = 46.2000, H(p,q)-H0 = 0.0000000021902365, L(p,q)-L0 = 0.0000000000000023
t = 46.3000, H(p,q)-H0 = 0.0000000021903065, L(p,q)-L0 = 0.0000000000000026
t = 46.4000, H(p,q)-H0 = 0.0000000021903610, L(p,q)-L0 = 0.0000000000000026
t = 46.5000, H(p,q)-H0 = 0.0000000021904035, L(p,q)-L0 = 0.0000000000000024
t = 46.6000, H(p,q)-H0 = 0.0000000021904365, L(p,q)-L0 = 0.0000000000000024
t = 46.7000, H(p,q)-H0 = 0.0000000021904620, L(p,q)-L0 = 0.0000000000000024
t = 46.8000, H(p,q)-H0 = 0.0000000021904809, L(p,q)-L0 = 0.0000000000000026
t = 46.9000, H(p,q)-H0 = 0.0000000021904942, L(p,q)-L0 = 0.0000000000000029
t = 47.0000, H(p,q)-H0 = 0.0000000021905023, L(p,q)-L0 = 0.0000000000000032
t = 47.1000, H(p,q)-H0 = 0.0000000021905057, L(p,q)-L0 = 0.0000000000000031
t = 47.2000, H(p,q)-H0 = 0.0000000021905046, L(p,q)-L0 = 0.0000000000000032
t = 47.3000, H(p,q)-H0 = 0.0000000021904984, L(p,q)-L0 = 0.0000000000000030
t = 47.4000, H(p,q)-H0 = 0.0000000021904876, L(p,q)-L0 = 0.0000000000000029
t = 47.5000, H(p,q)-H0 = 0.0000000021904717, L(p,q)-L0 = 0.0000000000000030
t = 47.6000, H(p,q)-H0 = 0.0000000021904498, L(p,q)-L0 = 0.0000000000000036
t = 47.7000, H(p,q)-H0 = 0.0000000021904205, L(p,q)-L0 = 0.0000000000000037
t = 47.8000, H(p,q)-H0 = 0.0000000021903824, L(p,q)-L0 = 0.0000000000000037
t = 47.9000, H(p,q)-H0 = 0.0000000021903339, L(p,q)-L0 = 0.0000000000000037
t = 48.0000, H(p,q)-H0 = 0.0000000021902718, L(p,q)-L0 = 0.0000000000000038
t = 48.1000, H(p,q)-H0 = 0.0000000021901918, L(p,q)-L0 = 0.0000000000000038
t = 48.2000, H(p,q)-H0 = 0.0000000021900888, L(p,q)-L0 = 0.0000000000000039
t = 48.3000, H(p,q)-H0 = 0.0000000021899544, L(p,q)-L0 = 0.0000000000000039
t = 48.4000, H(p,q)-H0 = 0.0000000021897766, L(p,q)-L0 = 0.0000000000000034
t = 48.5000, H(p,q)-H0 = 0.0000000021895377, L(p,q)-L0 = 0.0000000000000033
t = 48.6000, H(p,q)-H0 = 0.0000000021892106, L(p,q)-L0 = 0.0000000000000033
t = 48.7000, H(p,q)-H0 = 0.0000000021887525, L(p,q)-L0 = 0.0000000000000033
t = 48.8000, H(p,q)-H0 = 0.0000000021880946, L(p,q)-L0 = 0.0000000000000032
t = 48.9000, H(p,q)-H0 = 0.0000000021871220, L(p,q)-L0 = 0.0000000000000034
t = 49.0000, H(p,q)-H0 = 0.0000000021856332, L(p,q)-L0 = 0.0000000000000038
t = 49.1000, H(p,q)-H0 = 0.0000000021832666, L(p,q)-L0 = 0.0000000000000039
t = 49.2000, H(p,q)-H0 = 0.0000000021793377, L(p,q)-L0 = 0.0000000000000040
t = 49.3000, H(p,q)-H0 = 0.0000000021724836, L(p,q)-L0 = 0.0000000000000038
t = 49.4000, H(p,q)-H0 = 0.0000000021598388, L(p,q)-L0 = 0.0000000000000037
t = 49.5000, H(p,q)-H0 = 0.0000000021350117, L(p,q)-L0 = 0.0000000000000047
t = 49.6000, H(p,q)-H0 = 0.0000000020828380, L(p,q)-L0 = 0.0000000000000041
t = 49.7000, H(p,q)-H0 = 0.0000000019653632, L(p,q)-L0 = 0.0000000000000040
t = 49.8000, H(p,q)-H0 = 0.0000000016849397, L(p,q)-L0 = 0.0000000000000040
t = 49.9000, H(p,q)-H0 = 0.0000000010054575, L(p,q)-L0 = 0.0000000000000043
t = 50.0000, H(p,q)-H0 = -0.0000000004525247, L(p,q)-L0 = 0.0000000000000041
t = 50.1000, H(p,q)-H0 = -0.0000000021925068, L(p,q)-L0 = 0.0000000000000038
t = 50.2000, H(p,q)-H0 = -0.0000000011262797, L(p,q)-L0 = 0.0000000000000038
t = 50.3000, H(p,q)-H0 = -0.0000000003393819, L(p,q)-L0 = 0.0000000000000036
t = 50.4000, H(p,q)-H0 = -0.0000000022861792, L(p,q)-L0 = 0.0000000000000036
t = 50.5000, H(p,q)-H0 = -0.0000000010909109, L(p,q)-L0 = 0.0000000000000034
t = 50.6000, H(p,q)-H0 = 0.0000000006344154, L(p,q)-L0 = 0.0000000000000036
t = 50.7000, H(p,q)-H0 = 0.0000000015278889, L(p,q)-L0 = 0.0000000000000034
t = 50.8000, H(p,q)-H0 = 0.0000000019017266, L(p,q)-L0 = 0.0000000000000041
t = 50.9000, H(p,q)-H0 = 0.0000000020559798, L(p,q)-L0 = 0.0000000000000034
t = 51.0000, H(p,q)-H0 = 0.0000000021228997, L(p,q)-L0 = 0.0000000000000030
t = 51.1000, H(p,q)-H0 = 0.0000000021539794, L(p,q)-L0 = 0.0000000000000028
t = 51.2000, H(p,q)-H0 = 0.0000000021694511, L(p,q)-L0 = 0.0000000000000027
t = 51.3000, H(p,q)-H0 = 0.0000000021776693, L(p,q)-L0 = 0.0000000000000024
t = 51.4000, H(p,q)-H0 = 0.0000000021822963, L(p,q)-L0 = 0.0000000000000023
t = 51.5000, H(p,q)-H0 = 0.0000000021850405, L(p,q)-L0 = 0.0000000000000024
t = 51.6000, H(p,q)-H0 = 0.0000000021867441, L(p,q)-L0 = 0.0000000000000027
t = 51.7000, H(p,q)-H0 = 0.0000000021878448, L(p,q)-L0 = 0.0000000000000028
t = 51.8000, H(p,q)-H0 = 0.0000000021885816, L(p,q)-L0 = 0.0000000000000029
t = 51.9000, H(p,q)-H0 = 0.0000000021890901, L(p,q)-L0 = 0.0000000000000033
t = 52.0000, H(p,q)-H0 = 0.0000000021894503, L(p,q)-L0 = 0.0000000000000032
t = 52.1000, H(p,q)-H0 = 0.0000000021897114, L(p,q)-L0 = 0.0000000000000030
t = 52.2000, H(p,q)-H0 = 0.0000000021899053, L(p,q)-L0 = 0.0000000000000031
t = 52.3000, H(p,q)-H0 = 0.0000000021900509, L(p,q)-L0 = 0.0000000000000033
t = 52.4000, H(p,q)-H0 = 0.0000000021901626, L(p,q)-L0 = 0.0000000000000037
t = 52.5000, H(p,q)-H0 = 0.0000000021902487, L(p,q)-L0 = 0.0000000000000038
t = 52.6000, H(p,q)-H0 = 0.0000000021903156, L(p,q)-L0 = 0.0000000000000039
t = 52.7000, H(p,q)-H0 = 0.0000000021903677, L(p,q)-L0 = 0.0000000000000038
t = 52.8000, H(p,q)-H0 = 0.0000000021904085, L(p,q)-L0 = 0.0000000000000036
t = 52.9000, H(p,q)-H0 = 0.0000000021904403, L(p,q)-L0 = 0.0000000000000037
t = 53.0000, H(p,q)-H0 = 0.0000000021904645, L(p,q)-L0 = 0.0000000000000036
t = 53.1000, H(p,q)-H0 = 0.0000000021904824, L(p,q)-L0 = 0.0000000000000037
t = 53.2000, H(p,q)-H0 = 0.0000000021904947, L(p,q)-L0 = 0.0000000000000039
t = 53.3000, H(p,q)-H0 = 0.0000000021905021, L(p,q)-L0 = 0.0000000000000041
t = 53.4000, H(p,q)-H0 = 0.0000000021905049, L(p,q)-L0 = 0.0000000000000046
t = 53.5000, H(p,q)-H0 = 0.0000000021905031, L(p,q)-L0 = 0.0000000000000046
t = 53.6000, H(p,q)-H0 = 0.0000000021904966, L(p,q)-L0 = 0.0000000000000049
t = 53.7000, H(p,q)-H0 = 0.0000000021904851, L(p,q)-L0 = 0.0000000000000048
t = 53.8000, H(p,q)-H0 = 0.0000000021904681, L(p,q)-L0 = 0.0000000000000050
t = 53.9000, H(p,q)-H0 = 0.0000000021904447, L(p,q)-L0 = 0.0000000000000048
t = 54.0000, H(p,q)-H0 = 0.0000000021904141, L(p,q)-L0 = 0.0000000000000046
t = 54.1000, H(p,q)-H0 = 0.0000000021903745, L(p,q)-L0 = 0.0000000000000044
t = 54.2000, H(p,q)-H0 = 0.0000000021903241, L(p,q)-L0 = 0.0000000000000048
t = 54.3000, H(p,q)-H0 = 0.0000000021902591, L(p,q)-L0 = 0.0000000000000047
t = 54.4000, H(p,q)-H0 = 0.0000000021901758, L(p,q)-L0 = 0.0000000000000047
t = 54.5000, H(p,q)-H0 = 0.0000000021900680, L(p,q)-L0 = 0.0000000000000043
t = 54.6000, H(p,q)-H0 = 0.0000000021899273, L(p,q)-L0 = 0.0000000000000047
t = 54.7000, H(p,q)-H0 = 0.0000000021897409, L(p,q)-L0 = 0.0000000000000047
t = 54.8000, H(p,q)-H0 = 0.0000000021894895, L(p,q)-L0 = 0.0000000000000044
t = 54.9000, H(p,q)-H0 = 0.0000000021891444, L(p,q)-L0 = 0.0000000000000047
t = 55.0000, H(p,q)-H0 = 0.0000000021886584, L(p,q)-L0 = 0.0000000000000046
t = 55.1000, H(p,q)-H0 = 0.0000000021879574, L(p,q)-L0 = 0.0000000000000044
t = 55.2000, H(p,q)-H0 = 0.0000000021869148, L(p,q)-L0 = 0.0000000000000049
